,question,answer,evidence,type,difficulty
78,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"['20260122_1700', '20260121_1300']",Multi,easy
79,"Who does Li Hua go to watch the movie ""Overwatch 3"" with?",Wolfgang,"['20260122_1700', '20260121_1300']",Multi,easy
80,When does Li Hua plan to celebrate Chinese Lunar New Year?,20260118,['20260113_1100'],Single,easy
81,What does Li Hua plan to celebrate Chinese Lunar New Year?,dumplings,['20260113_1100'],Single,medium
82,Who does Li Hua plan to celebrate Chinese Lunar New Year with?,Wolfgang,['20260113_1100'],Single,easy
83,Li Hua accidentally broke a light fixture once. What did Adam say about the light fixture?,I'll arrange for a professional to take a look,['20260108_1900'],Single,easy
84,Li Hua has a difficult client. When did he solve that client's project?,20260209,"['20260123_1730', '20260209_2100']",Multi,hard
85,When did Li Hua express frustration about a client changing requirements?,20260131_14:00,['20260131_1400'],Single,medium
86,Who suggested Li Hua keep a clear log of all the changes requested by the client?,Wolfgang Schulz,['20260131_1400'],Single,easy
87,What did Wolfgang Schulz suggest Li Hua to do when Li Hua face a difficult client?,keep a clear log of all the changes requested by the client,['20260131_1400'],Single,medium
88,What does Li Hua plan to do to clear their head?,go for a walk and find a new café,['20260131_1400'],Single,hard
89,What is the name of the café Wolfgang Schulz recommends to Li Hua?,The Java Spot,['20260131_1400'],Single,hard
90,Can Li Hua hang his artworks on the wall?,Yes,['20260201_2000'],Single,easy
91,What does Adam Smith suggest Li Hua use to hang artwork without damaging the walls?,use removable hooks,['20260201_2000'],Single,easy
92,How many times does Li Hua train per week now?,2,['20260204_1500 '],Single,easy
93,When did Li Hua change the training plan?,20260204,['20260204_1500'],Single,medium
94,What days does Li Hua takes for the training sessions?,Tuesdays and Thursdays,['20260204_1500'],Single,hard
95,When did Li Hua ask Jennifer Moore for tips on dealing with muscle soreness?,20260206_16:00,['20260206_1600'],Single,hard
96,What are some of Jennifer Moore's tips for dealing with muscle soreness?,hydration&active recovery&stretching&foam rolling&rest,['20260206_1600'],Single,easy
97,Why did Li Hua ask for extra exercises to do at home?,to complement his training schedule,['20260205_1300'],Single,easy
98,What exercises did Jennifer Moore suggest Li Hua do at home?,bodyweight squats& plank holds&push-ups&lunges&glute bridges,['20260205_1300'],Single,easy
99,What is Adam Smith's condition for Li Hua to add decorations to the basement?,must be reversible and not damage anything,['20260219_2000'],Single,easy
100,When was the first time Wolfgang went to Li Hua's basement?,20260221,['20260221_1500'],Single,hard
101,What ideas did Wolfgang Schulz suggest for Li Hua's basement practice spot?,good lighting&soundproofing&a comfy chair,['20260219_2010'],Single,easy
102,Why did Adam remind Li Hua not to play guitar late at night?,a few neighbors have mentioned they're hearing guitar music late at night,['20260216_1000'],Single,easy
103,What type of ambiance does YurikoYamamoto want for her studio's homepage?,more welcoming and engaging,['20260223_1500'],Single,easy
104,When did Li Hua invite Adam Smith to check the basement renovation progress?,20260223_19:00,['20260223_1700'],Single,easy
105,What is the name of the café where Li Hua and YurikoYamamoto first meeting to talk about Yuriko's website?,Central Perk,['20260225_1500'],Single,easy
106,What is the essence of YurikoYamamoto Li Hua is helping with her homepage?,speech therapy,['20260223_1500'],Single,easy
107,What type of instrument does Li Hua play in the basement?,guitar,['20260223_1700'],Single,easy
108,When did Adam Smith inform Li Hua about potential issues with the pipes in the basement?,20260301_13:00,['20260301_1300'],Single,easy
109,When did Li Hua inform Adam Smith that the rent was transferred?,20260301_10:00,['20260301_1000'],Single,medium
110,When is the music concert that Wolfgang invites Li Hua to?,20260307_18:00,['20260302_1800'],Single,easy
111,What dish does Li Hua agree to bring to the neighborhood potluck dinner?,Homemade pasta salad,['20260302_1845'],Single,easy
112,Who is Li Hua meeting with to discuss homepage design updates?,Yuriko Yamamoto,['20260303_0930'],Single,easy
113,What new feature does Yuriko Yamamoto consider adding to her studio's homepage?,A blog section,['20260307_1300'],Single,medium
114,What time is the power outage in the neighborhood?,2 PM to 3 PM,['20260307_1445'],Single,easy
115,What suggestions does Li Hua give for promoting the new scheduling feature?,Showcase it on social media platforms and include a short tutorial and send out a newsletter to clients,['20260311_1430'],Single,hard
116,Who invites Li Hua to join the community bake sale?,Adam Smith,['20260312_1230'],Single,easy
117,What day and time is the community bake sale taking place?,Sunday at 3 PM,['20260312_1230'],Single,easy
118,When does Li Hua request a delivery from Hailey Johnson?,Tuesday,['20260314_1700'],Single,medium
119,What is the address where Li Hua wants the bread delivery to be made?,123 Sunny Street,['20260314_1700'],Single,easy
120,What service does Hailey Johnson offer to Li Hua?,Doorstep delivery service for fresh milk and bread,['20260314_1700'],Single,easy
121,What time does Hailey Johnson start baking?,4 AM,['20260317_0800'],Single,hard
122,Where does Li Hua plan to meet Yuriko Yamamoto to show the final website?,Central Perk café,['20260317_1530'],Single,easy
123,What does Li Hua suggest to Hailey regarding the frequency of bread delivery?,Twice a week on Mondays and Fridays at 8am,['20260318_1500'],Single,easy
124,What does Li Hua agree to bring to the bonfire singing party hosted by Chae Song-hwa?,Li Hua will bring his guitar,['20260320_1800'],Single,medium
125,What is the focus of Li Hua's next month's fitness plan according to Jennifer?,Strengthening lower limbs,['20260325_1900'],Single,easy
126,What is the building's policy that Adam reminds Li Hua about?,Recycling policy,['20260328_1500'],Single,easy
127,What is the topic of the online tutorial Yuriko shares with the group?,Advanced drum techniques,['20260329_1000'],Single,easy
128,What is Wolfgang looking for in his new drums?,Something versatile that sounds good for both rock and softer tunes like The Beatles,['20260326_1600'],Single,easy
129,What song does Li Hua suggest for the jam session on 20260405?,Viva la Vida,['20260405_1000'],Single,hard
130,What does Li Hua think about the rosemary focaccia?,Li Hua thinks the rosemary focaccia is amazing,['20260331_1400'],Single,easy
131,When does Li Hua confirm the rent transfer to Adam?,20260331_17:00,['20260331_1700'],Single,medium
132,What joke does Wolfgang make as an April Fool's joke?,That Wolfgang bought a set of expensive drums,['20260401_1500'],Single,easy
133,Who is delivering the bread to Li Hua on 20260403?,Alice,['20260403_0800'],Single,easy
134,What does Li Hua think about improvisation during the jam session?,Improvisation sounds great,['20260402_1900'],Single,easy
135,When is ChaeSong-hwa hosting the community medical knowledge lecture?,7 PM on Saturday,['20260407_1900'],Single,easy
136,What topics will be covered in the community medical knowledge lecture?,Basics of common health issues and how to prevent them,['20260407_1900'],Single,easy
137,What new song does the Jolly band decide to work on for the jam session according to their discussion on 20260410?,Stand By Me,['20260410_1100'],Single,hard
138,What is Li Hua's feedback on Chae Song-hwa's medical knowledge lecture?,It is insightful and makes complex topics easy to understand,['20260411_2100'],Single,easy
139,When is the anniversary event of Hailey Johnson's bakery shop?,April 15 to 17,['20260413_2100'],Single,easy
140,What does Li Hua want to have on Hailey's bakery shop anniversary event?,Sourdough and sweet pastries,['20260413_2100'],Single,easy
141,Why does Li Hua ask ChaeSong-hwa about whether neurosurgeons actually use test tubes in their work?,Li Hua is trying to get some insights for a website design,['20260414_1600'],Single,easy
142,Who proposes that the band takes a break from jamming this week?,Wolfgang Schulz,['20260416_2100'],Single,easy
143,What suggestions does Li Hua propose to Adam Smith about the upcoming community garden renovation?,Add more seating areas for people to relax and enjoy the space and some flower beds with native plants,['20260417_1100'],Single,easy
144,What kinds of flowers does Li Hua recommend to Adam Smith for the flower beds?,Lavender and coneflowers and fresh herbs,['20260417_1100'],Single,medium
145,What will be a gift for Li Hua if he chooses to renew the fitness contract with Jennifer Moore?,A cool fitness bag as a gift for all the gym activities,['20260420_2100'],Single,easy
146,When is the karaoke activity organized by ChaeSong-hwa?,Saturday at 7 PM,['20260421_1600'],Single,medium
147,Who is Li Hua bringing to the band's jam session according to their discussion on 20260425?,ChaeSong-hwa,['20260425_2100'],Single,easy
148,What garden-related activity is Thrall planning to organize?,A community planting day,['20260426_1330'],Single,easy
149,What is the proposed solution for making the garden more inviting on sunny days?,Adding shade with umbrellas or trees,['20260427_1030'],Single,medium
150,What is the main topic of the conversation on 2026-04-28 at 5 PM?,Breathing techniques and tips for squats during workouts,['20260428_1700'],Single,hard
151,When is Wolfgang Schulz's promotion celebration dinner?,6 PM on the day after tomorrow (implied to be 2026-04-30),['20260428_1830'],Single,medium
152,What is the name of the Italian restaurant where Wolfgang and Li Hua are having dinner to celebrate Wolfgang's promotion?,Venedia Grancaffe,['20260430_1700'],Single,easy
153,What is Li Hua's suggestion for scheduling the water pipe repairs in the garden?,During off-peak hours,['20260501_1600'],Single,hard
154,When is the community meeting for the garden project scheduled according to the discussion on 20260507?,Saturday at 10 am,['20260507_1600'],Single,hard
155,What percentage discount is Hailey Johnson offering for Mother's Day pastries?,15%,['20260508_0800'],Single,easy
156,Which two specific pastries does Hailey Johnson recommend for Mother's Day?,Raspberry-filled croissants and chocolate eclairs,['20260508_0800'],Single,easy
157,What type of stretches does JenniferMoore suggest before and after workouts?,Dynamic stretches before and static stretches after,['20260510_1130'],Single,easy
158,When is the web design seminar at Wolfgang's company happening?,Thursday at 3 PM,['20260511_1100'],Single,easy
159,What is Li Hua looking forward to trying from the summer promotion?,Fruity ice cream flavors and a mango-coconut pastry,['20260514_1400'],Single,easy
160,What did Li Hua enjoy the most about the restaurant that he and Wolfgang visited for dinner on 20260514?,The pasta dish and the dessert,['20260514_2200'],Single,medium
161,Why is Chae Song-hwa unable to join the rehearsal?,She has to attend a medical lecture,['20260515_1000'],Single,medium
162,What type of lighting is preferred for the seating area in the community garden?,Soft white lights,['20260516_1000'],Single,easy
163,When is the construction of the garden supposed to start?,This Wednesday (20260520),['20260518_1000'],Single,medium
164,Which flowers does RexxarRemar suggest for a vibrant vibe?,Bluebell and Camellia and Tulip,['20260518_1000'],Single,medium
165,How does RexxarRemar plan to spend time in the garden once it's done?,For family gatherings and relaxing afternoons,['20260518_1000'],Single,easy
166,What does LiHua find as a perfect place to work in his conversation with Chae?,The Lighthouse Cafe,['20260521_1500'],Single,easy
167,What songs does Chae propose to the Jolly band to try out on Sunday according to the conversation on 20260521?,"The Yellow Wind Rises and ""To the West""",['20260521_2000'],Single,easy
168,What is IllidanStormrage's suggestion to the ongoing garden construction according to the discussion on 20260522?,plan some quiet hours when the kids are playing,['20260522_2000'],Single,medium
169,What songs does LiHua suggest adding to the karaoke playlist in his conversation with Chae?,"I Will Survive and ""Sweet Caroline""",['20260525_1500'],Single,easy
170,What time does Turalyon plan to limit noisy activities?,From 2-3 pm,['20260527_1000'],Single,medium
171,Why does WolfgangSchulz inquire of the band members about health products?,Wolfgang is feeling very tired lately with the overtime and wants to boost up his energy,['20260527_2300'],Single,easy
172,What is the name of the song LiHua suggests revisiting for the band's music session according to their conversation on 20260529?,The History of Everything,['20260529_1700'],Single,hard
173,Which kind of pastry does Li Hua express his interest in trying in his conversation with Hailey on 20260531?,the new banana durian cheesecake,['20260531_2000'],Single,hard
174,When did Li Hua inform Adam Smith that the rent for last month (implied to be May) had been transferred?,2026-06-02 at 10:00,['20260602_1000'],Single,hard
175,What is the name of Hailey Johnson's new weekly flavor cheese?,Hazelnut Basque Roasted Cheese,['20260603_0945'],Single,easy
176,Why can't people sit on the benches when Turalyon informs the community that the benches have been installed on 20260604?,the paint isn't dry yet,['20260604_1800'],Single,easy
177,What is the phone number for the maintenance worker that Adam Smith provided to Li Hua for the broken streetlight?,314159,['20260605_1845'],Single,easy
178,What breathing technique does Jennifer Moore suggest for running?,Inhaling for 3 steps and exhaling for 2 steps,['20260606_0900'],Single,easy
179,When is the Freelancer Group Meeting scheduled for according to the conversation between LiHua and Yuriko?,This Wednesday at 3 pm,['20260608_1430'],Single,medium
180,What suggestions does Jennifer give to LiHua to help boost his endurance?,try incorporating longer cardio sessions and interval training into your routine,['20260610_1600'],Single,easy
181,What new pastry does Hailey think is perfect for a fitness lover like Li Hua?,high-protein breads,['20260611_1245'],Single,medium
182,Who proposes adding some outdoor games or a small water feature to the children's play areain the community discussion?,Thrall,['20260612_1500'],Single,easy
183,Who proposes adding picnic tables for families to enjoy some snacks after playing?,Li Hua,['20260612_1500'],Single,hard
184,Who proposes creating a little garden area where kids can help plant flowers or vegetables?,GromHellscream,['20260612_1500'],Single,medium
185,Why does LiHua bring up Adam Smith in the band's conversation on 20260616?,LiHua thinks it is really nice for Mr. Smith to rent this basement to us for practice,['20260616_1040'],Single,hard
186,What event does LiHua think is an opportunity for the Jolly band to perform in front of the crowd?,the poster saying that the town is holding a local music festival,['20260617_1700'],Single,easy
187,What dietary restrictions does LiHua have in his conversation with Hailey?,No dietary restrictions,['20260618_1130'],Single,easy
188,What will special guest speaker be talking about as Jennifer mentions to LiHua?,about nutrition for athletes,['20260619_0815'],Single,easy
189,What is the survey that Jennifer wants LiHua to fill out about?,the experience with our training sessions so far,['20260622_1100'],Single,easy
190,When does the special event at Hailey's bakery start according to Hailey and LiHua's conversation on 20260622?,The event starts at 10 AM this Saturday,['20260622_1330'],Single,easy
191,What video does LiHua send to the band group chat on 20260624?,"a video of himself playing the intro to ""Stairway to Heaven""",['20260624_1400'],Single,hard
192,Waht song does Wolfgang propose adding to the band's practice set on 20260625?,Viva la Vida by Coldplay,['20260625_1900'],Single,hard
193,What is the main topic of the conversation between LiHua and ChaeSong-hwa on 20260626?,Chae and her team making a breakthrough in the research study and LiHua congratulating her,['20260626_1100'],Single,medium
194,Waht songs does Chae recommend in the band's group discussion on 20260629?,"Uptown Funk or ""Happy""",['20260629_1830'],Single,hard
195,What tip does Jennifer give to the gym members on 20260630?,Staying hydrated during workout is very important,['20260630_1530'],Single,medium
196,Why deoes the construction have to be postponed according to Tirion Fordring?,the storm and the rain have been going on for days,['20260701_1000'],Single,easy
197,What kinds of Thai food does Wolfgang want to try out at the Thai restaurant on 20260702?,pad thai and maybe some spring rolls,['20260702_1500'],Single,medium
198,What song does Yuriko propose that the band can practice this weekend according to the band's discussion on 20260703?,Take Me Home Country Roads by John Denver,['20260703_1145'],Single,easy
199,What is the name of the song that Yuriko recommend to the band on 20260706?,Rolling in the Deep by Adele,['20260706_1930'],Single,hard
200,Why are LiHua and Adam concerned about the basement in their conversation on 20260707?,They want to check if there were any issues in the basement after those rainstorms,['20260707_1600'],Single,easy
201,Why is Jennifer checking in in the gym group chat on 20260708?,She wants to hear how the members are all doing and offer some personalized advice.,['20260708_1400'],Single,hard
202,What is the article that Chae shares with LiHua about?,how to fall asleep faster at night,['20260711_1100'],Single,medium
203,What is LiHua's feeback on Hailey's new artisanal donuts?,The flavors are so unique and delicious,['20260712_1600'],Single,easy
204,What new flavor is LiHua looking for as he mentions to Hailey in their conversation on 20260714?,a matcha flavor,['20260714_1200'],Single,hard
205,Which performance does Chae want the band members to check out in their discussion on 20260715?,"the amazing live performance of ""Bohemian Rhapsody"" by Queen",['20260715_1900'],Single,medium
206,Why is LiHua praising Chae in their conversation on 20260717?,LiHua was really amazed by Chae's performance in the band last Sunday because Chae's singing has really leveled up,['20260717_1200'],Single,easy
207,What cool thing does Wolfgang find that he wants to share with LiHua?,this awesome guitar Wolfgang found online,['20260718_1800'],Single,medium
208,What tips on balancing work and personal hobbies does LiHua give to Chae?,try setting specific hours for work and separate times for your hobbies and don't forget to schedule some fun time for yourself,['20260722_1300'],Single,easy
209,What is the size of the basement?,The basement is approximately 15 feet by 20 feet,['20260723_1400'],Single,easy
210,What is Wolfgang's favorite superhero?,Iron Man,['20260726_1600'],Single,easy
211,What is LiHua's favorite superhero?,Spider-Man,['20260726_1600'],Single,medium
212,What sports would LiHua like to see on the community sports day?,some team sports like soccer or basketball,['20260727_1630'],Single,easy
213,What activities are being discussed for the community sports day?,Soccer and basketball and tug-of-war and sack race are mentioned as potential activities for the community sports day,['20260727_1630'],Single,medium
214,What new hobbies does Wolfgang Schulz propose to Li Hua?,Wolfgang Schulz proposes pottery or painting as a hobby to Li Hua,['20260728_1800'],Single,medium
215,What brands of air-conditioners does LiHua recommend to Wolfgang?,Mitsubishi and Daikin,['20260729_1400'],Single,easy
